"No";"Titel";"Erfinder";"Anmelder";"Veröffentlichungsnummer";"Früheste Priorität";"IPC";"CPC";"Veröffentlichungsdatum";"Früheste Veröffentlichung";"Familiennummer";
"1";"WERKZEUGMASCHINE MIT EINER AUSGLEICHSKAMMER UND VERFAHREN ZUM AUSGLEICHEN VON ZUSTANDSÄNDERUNGEN DER ATMOSPHÄRE IM ARBEITSRAUM EINER WERKZEUGMASCHINE";"BRAND MATTHIAS [DE] 
KÜHNELT MARKUS [DE] 
STORCH STEPHAN [DE]";"DMG MORI SEEBACH GMBH [DE]";"WO2026162447A1";"2025-01-30";"B23Q1/01 
B23Q11/08 
B23Q11/00";"B23Q1/015 (EP) 
B23Q11/0891 (EP) 
B23Q11/0032 (EP)";"2026-08-06";"2026-07-30";"098779715";
"2";"SCHLEUSENVORRICHTUNG FÜR WERKSTÜCKE MIT OPTISCHEN EIGENSCHAFTEN UND FERTIGUNGSMASCHINE HIERMIT";"WALLENDORF STEFFEN [DE] 
SCHLICHT MAXIMILIAN [DE] 
SCHMIDT MARKUS [DE] 
SÖHNGEN SWEN [DE] 
SEIFRIED STEFAN [DE]";"OPTOTECH OPTIKMASCH GMBH [DE] 
WALLENDORF STEFFEN [DE] 
SCHLICHT MAXIMILIAN [DE] 
SCHMIDT MARKUS [DE] 
SOEHNGEN SWEN [DE] 
SEIFRIED STEFAN [DE]";"WO2026162131A1";"2025-01-29";"B23Q11/08 
B23Q7/02 
B24B13/00 
B24B41/00";"B23Q17/20 (EP) 
B23Q7/02 (EP) 
B24B13/0031 (EP) 
B24B41/005 (EP) 
B25J9/0093 (EP) 
F16P3/08 (EP) 
B23Q11/0891 (EP) 
B28D7/00 (EP)";"2026-08-06";"2026-08-06";"094475882";
"3";"CLAMP DEVICE";"HARUNA YOSUKE [JP]";"KOSMEK LTD [JP]";"US20260225197A1";"2023-02-27";"B23Q3/06";"B23Q3/06 (US) 
B23Q3/062 (KR) 
B25B5/04 (EP,KR) 
B25B5/08 (EP) 
F16B2/16 (EP,KR) 
B23Q2703/10 (KR)";"2026-08-06";"2024-09-06";"092589791";
"4";"FAST-TOOL-ANTRIEBSEINHEIT FÜR EINE DREHMASCHINE";"SCHMIDT MARKUS [DE] 
SÖHNGEN SWEN [DE] 
WALLENDORF STEFFEN [DE] 
SCHLICHT MAXIMILIAN [DE] 
SEIFRIED STEFAN [DE]";"OPTOTECH OPTIKMASCH GMBH [DE] 
SCHMIDT MARKUS [DE] 
SOEHNGEN SWEN [DE] 
WALLENDORF STEFFEN [DE] 
SCHLICHT MAXIMILIAN [DE] 
SEIFRIED STEFAN [DE]";"WO2026162128A1";"2025-01-29";"B23B27/10 
B23B29/12 
B23Q11/10";"B23B27/10 (EP) 
B23B29/125 (EP) 
B23Q11/1023 (EP) 
B23B2215/40 (EP) 
B23B2226/45 (EP) 
B23B2250/12 (EP) 
B23B2260/108 (EP) 
B23Q2230/004 (EP)";"2026-08-06";"2026-08-06";"094480964";
"5";"ROTARY TABLE DEVICE";"FUJIMOTO KAZUHISA [JP] 
RAY NATHAN [GB] 
ECKERSALL STEPHEN [GB] 
CORKER CHARLES MILLWARD [GB]";"NIKKEN KOSAKUSHO WORKS LTD [JP]";"US20260225222A1";"2025-02-04";"B25H1/02";"B23Q1/0027 (EP) 
B23Q1/0072 (EP) 
B23Q1/52 (EP) 
B23Q3/082 (EP) 
B25H1/02 (US) 
B23Q2220/004 (EP)";"2026-08-06";"2025-06-05";"095894927";
"6";"Reduction of thermal distortion in machine tools";"MARK STOCKER [GB]";"FIVES LANDIS LTD [GB]";"GB2703681A";"2025-01-16";"B23Q1/01 
B23Q15/18 
B24B41/02";"B23Q1/015 (EP) 
B23Q1/522 (EP) 
B23Q11/0003 (EP) 
B23Q11/127 (EP)";"2026-08-05";"2026-07-23";"095559406";
"7";"VORRICHTUNG MIT EINER BEWEGLICHEN KLAPPE ZUM FREIGEBEN EINER WECHSELÖFFNUNG AN EINER WERKZEUGMASCHINE UND VERFAHREN ZUM AUSWECHSELN EINES AUFSATZES";"BRAND MATTHIAS [DE] 
KÜHNELT MARKUS [DE] 
STORCH STEPHAN [DE]";"DMG MORI SEEBACH GMBH [DE]";"WO2026162414A1";"2025-01-30";"B23Q11/08 
B23Q3/157";"B23Q11/08 (EP) 
B23Q11/0891 (EP) 
B23Q3/15713 (EP) 
B23Q2003/155428 (EP)";"2026-08-06";"2026-07-30";"098772633";
"8";"MACHINE TOOL";"FONTAINE THOMAS [DE] 
BUDAI JÁNOS [HU] 
MARMOL DAMIAN [PL] 
BITTNER PASCAL [DE]";"SCHWAEBISCHE WERKZEUGMASCHINEN GMBH [DE]";"US20260225198A1";"2025-02-06";"B23Q3/155 
B23Q3/157";"B23Q3/1554 (US) 
B23Q3/15706 (EP) 
B23Q3/15724 (EP,US) 
B23Q3/1574 (EP) 
B23Q3/15753 (EP) 
B23Q2003/155414 (US) 
B23Q2003/155453 (EP) 
B23Q2003/155456 (EP) 
B23Q2003/1558 (EP)";"2026-08-06";"2026-08-06";"094598374";
"9";"CARTRIDGE, TABLE ROTATOR, AND MACHINE TOOL";"SATO KIMIHIKO [JP] 
OGAWA YUKIO [JP] 
SAKAI NOBUHIRO [JP]";"YAMAZAKI MAZAK CORP [JP]";"US20260225196A1";"2024-06-28";"B23Q1/01 
B23Q1/54";"B23Q1/01 (US) 
B23Q1/54 (US) 
B23Q1/5406 (EP) 
B23Q16/025 (EP) 
B23Q2220/004 (EP)";"2026-08-06";"2024-12-23";"093933969";
"10";"ROTIERENDES ELEMENT, INSBESONDERE WERKZEUGHALTER";"SCHUSTER ALEXANDER [DE] 
RENTZSCH HENDRIK [DE] 
WORM JOHANNES [DE] 
DRÄGER TOBIAS [DE]";"FRAUNHOFER GES FORSCHUNG [DE]";"WO2026162583A1";"2025-01-29";"B23B31/20 
B23Q17/09";"B23B31/20 (EP) 
B23B2260/128 (EP) 
B23B2270/022 (EP) 
B23B2270/14 (EP) 
B23B2270/32 (EP) 
B23Q17/0966 (EP)";"2026-08-06";"2026-07-30";"098732701";
